Text;User;Location;Created;Favourite_count;Retweet_count;Source
"RT @McDonalds: Behind the Sauce: Making of Film
#BTSMeal 

https://t.co/vS1T7epAYG https://t.co/EKGkBe8MC1";🍊⁷;she/her , uni;2021-06-23 23:59:27;0;31190;Twitter for iPhone
1000/10 el bts meal🥰 #BTSMeal #BTS https://t.co/QRL6XzYHqZ;R;She/her/ella;2021-06-23 23:57:29;2;0;Twitter for iPhone
"RT @peachyoutoo: WHO PAVED THE WAY?!?
@BTS_twt 
#BTSMeal https://t.co/5U13KGHDOd";_María𓆗🧈;No tiene;2021-06-23 23:56:13;0;2;Twitter for Android
RT @jaydenation: #BTSmeal but make it @Josiahchua customs. I guess you can call them 𝑨𝑹𝑴𝒀 𝑩𝑶𝑶𝑻𝑺 🤣🤣 https://t.co/RGYYwTrX7j;rokiah;sandy;2021-06-23 23:55:49;0;1226;Twitter for iPhone
"RT @KiAmAgU: Woo Army we have a full schedule for everything to come this month,
The calendar has already been released in Mexico and the U…";karla Clarissa Stay 💙♥️Baby Melody🐰🧈;A Whole new world ;2021-06-23 23:55:39;0;2;Twitter for iPhone
RT @Bangtanbros7: #BTSMeal glad I was in Mexico for this 😌 https://t.co/sAHL6z53qI;karla Clarissa Stay 💙♥️Baby Melody🐰🧈;A Whole new world ;2021-06-23 23:55:36;0;1;Twitter for iPhone
RT @shantbcl64: Considering driving to the U.S./Mexico border for the special packaging of the #BTSMeal 🥲 https://t.co/lxuHSQmrfh;karla Clarissa Stay 💙♥️Baby Melody🐰🧈;A Whole new world ;2021-06-23 23:55:30;0;3;Twitter for iPhone
"RT @mlovesbangtan_: Got it !!! 💜💜 #BTSMeal 

If Mexico has the same packaging as the us on June 1st I’m gonna cry 🙃 https://t.co/QO0K2Upfky";karla Clarissa Stay 💙♥️Baby Melody🐰🧈;A Whole new world ;2021-06-23 23:55:27;0;1;Twitter for iPhone
RT @Stephan99034937: The Perks of living near the Mexico Border #BTSMeal #Mexico #Tijuana Mexico Didn’t Disappoint #periodt #Army https://t…;karla Clarissa Stay 💙♥️Baby Melody🐰🧈;A Whole new world ;2021-06-23 23:55:21;0;1;Twitter for iPhone
RT @hyyh_fm: Now that we are on the topic, some mexican journalds have estimated that 136K #BTSMeal were sold in Mexico on the first day on…;karla Clarissa Stay 💙♥️Baby Melody🐰🧈;A Whole new world ;2021-06-23 23:55:15;0;2;Twitter for iPhone
RT @jaydenation: #BTSmeal but make it @Josiahchua customs. I guess you can call them 𝑨𝑹𝑴𝒀 𝑩𝑶𝑶𝑻𝑺 🤣🤣 https://t.co/RGYYwTrX7j;ʟᴏᴠᴇʟʏs⁷👑🍭; - 170429 12월 31일 #약속 #친구¹³ ;2021-06-23 23:54:30;0;1226;Twitter for Android
"RT @Andrea14073701: BTS Meals... 

#BTSMeal  #McDonalds #Nicaragua https://t.co/Q8etHpoXzP";karla Clarissa Stay 💙♥️Baby Melody🐰🧈;A Whole new world ;2021-06-23 23:54:18;0;1;Twitter for iPhone
RT @jaydenation: #BTSmeal but make it @Josiahchua customs. I guess you can call them 𝑨𝑹𝑴𝒀 𝑩𝑶𝑶𝑻𝑺 🤣🤣 https://t.co/RGYYwTrX7j;🍎애플하트⁷💜;빌보드 1위 가수 팬 아미나라;2021-06-23 23:54:10;0;1226;Twitter for Android
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;Lala ⁷ - Rock ‘n’ BTS ∞ ARMY;US;2021-06-23 23:52:33;0;81;Twitter for iPad
"RT @Ali_Jk97: Feliz BTS Meal #BTSMeal 🥺🥺💜💜
@bangtanboys_sv @McElSalvador @BTS_twt https://t.co/Yb18yfCIXJ";mimi’,);No tiene;2021-06-23 23:49:37;0;4;Twitter for iPhone
"RT @Ali_Jk97: Feliz BTS Meal #BTSMeal 🥺🥺💜💜
@bangtanboys_sv @McElSalvador @BTS_twt https://t.co/Yb18yfCIXJ";Bangtan Boys SV⁷ 🇸🇻 El Salvador;El Salvador;2021-06-23 23:49:16;0;4;Twitter for Android
"RT @McDo_PH: Get your #BTSMeal via Ride-Thru and take your selca with our ""I Purple This"" photo frame!
 
You can even get a FREE Upsize to…";cess☆⁷🧈;No tiene;2021-06-23 23:46:58;0;230;Twitter for iPhone
"RT @McDo_PH: Get your #BTSMeal via Ride-Thru and take your selca with our ""I Purple This"" photo frame!
 
You can even get a FREE Upsize to…";✨ WizardArmy💖 BTS🇵🇭💜🇰🇷✨;Taiwan. New Taipei ;2021-06-23 23:46:04;0;230;Twitter for Android
"RT @Uhmm_yes: BUTTER on repeat for 1 hour with NO ADS?! Just what I needed in life!
https://t.co/X7xsECqIGs
#BtsDiscography #BTS #btsdiamon…";Hu;No tiene;2021-06-23 23:41:57;0;1;Twitter for Android
"RT @McDonalds: Behind the Sauce: Making of Film
#BTSMeal 

https://t.co/vS1T7epAYG https://t.co/EKGkBe8MC1";BTS 8 years!!;No tiene;2021-06-23 23:41:24;0;31190;Twitter for iPhone
RT @BTSOriented: The initial #BTSMeal feedbacks are quite insane... This truly shows @BTS_twt's humongous impact on a global scale. (Here:…;BTS⁷endl3ss;love yourself ;2021-06-23 23:41:23;0;81;Twitter Web App
